street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
3001E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,5,2,1965,41182,112665,10/1/21,205000
3007 CHIPCO ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1967,41182,186315,3/11/22,284000
3008 CHIPCO ST,TAMPA,33605,FL,SINGLE FAMILY,4,2.5,2003,41182,179306,8/31/21,235000
3009E 29TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1991,38900,173820,9/21/20,202500
3006E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2.5,1964,41182,231550,12/15/21,255000
3212E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1930,41182,80964,7/13/21,100
3209E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,3,1928,75905,200257,11/13/20,290000
3510N 35TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1966,44857,170042,10/1/21,249900
3501 CLAY ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1950,44857,37634,5/20/21,80500
3408 CLAY ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1952,52299,78862,7/30/21,175000
3403 CLAY ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,44857,205446,3/4/22,100
3412E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,44857,227120,3/4/22,100
3414E 29TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,54145,204379,3/12/21,255000
3418E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1927,54145,88441,7/13/21,100
3509E 29TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1997,54145,129628,9/8/21,213000
3511E 29TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1920,56890,71900,4/13/22,235000
3510E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1910,54145,76507,4/28/22,159000
3502E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1958,54145,81769,9/30/20,123500
3509E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,50490,141465,3/25/22,249000
3506E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,40532,196501,10/20/21,309000
3508E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1974,40502,171890,9/30/20,199900
